RuntimeLogger 2025-07-12 17:19:16,016 INFO (stateListener|23) [Env.startMasterOnlyDaemonThreads():1805] checkpointer thread started. thread id is 94
RuntimeLogger 2025-07-12 17:19:16,112 INFO (stateListener|23) [JobScheduler.executeTimerJobIdsWithinLastTenMinutesWindow():201] execute timer job ids within last ten minutes window, last time window is 2025-07-12 17:19:16
RuntimeLogger 2025-07-12 17:19:16,113 INFO (stateListener|23) [JobScheduler.cycleSystemSchedulerTasks():98] re-register system scheduler timer tasks, time is 2025-07-12 17:19:16.112
RuntimeLogger 2025-07-12 17:19:16,146 WARN (InternalSchemaInitializer|23) [InternalSchemaInitializer.run():79] FE is not ready
RuntimeLogger 2025-07-12 17:19:16,213 INFO (stateListener|23) [Env.checkLowerCaseTableNames():1993] lower_case_table_names is 0
RuntimeLogger 2025-07-12 17:19:16,214 INFO (stateListener|23) [LogUtils.stdout():50] StdoutLogger 2025-07-12 17:19:16,213 master finished to replay journal, can write now.
RuntimeLogger 2025-07-12 17:19:16,214 INFO (stateListener|23) [Env.transferToMaster():1714] master finished to replay journal, can write now.
RuntimeLogger 2025-07-12 17:19:16,216 INFO (leaderCheckpointer|23) [Checkpoint.doCheckpoint():95] Http server is not ready.
RuntimeLogger 2025-07-12 17:19:16,223 INFO (stateListener|23) [Env$5.runOneCycle():2948] finished to transfer FE type to MASTER
RuntimeLogger 2025-07-12 17:19:16,227 INFO (STATS_FETCH-0|23) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-12 17:19:16,263 INFO (binlog-gcer|23) [BinlogManager.gc():608] begin gc binlog
RuntimeLogger 2025-07-12 17:19:16,263 INFO (InsertOverwriteDropDirtyPartitions|23) [InsertOverwriteManager.runAfterCatalogReady():368] start clean insert overwrite temp partitions
RuntimeLogger 2025-07-12 17:19:16,263 INFO (stream_load_record_manager|23) [StreamLoadRecordMgr.runAfterCatalogReady():350] finished to pull stream load records of all backends. record size: 0, cost: 5 ms
RuntimeLogger 2025-07-12 17:19:16,263 INFO (binlog-gcer|23) [BinlogManager.gc():619] gc binlog, dbBinlogMap is null
RuntimeLogger 2025-07-12 17:19:16,263 INFO (binlog-gcer|23) [BinlogGcer.runAfterCatalogReady():63] no gc binlog
RuntimeLogger 2025-07-12 17:19:16,264 WARN (Statistics Table Cleaner|23) [StatisticsCleaner.init():172] Failed to init stats cleaner
java.lang.RuntimeException: Table: `internal.__internal_schema.column_statistics` not exists
	at org.apache.doris.statistics.util.StatisticsUtil.findTable(StatisticsUtil.java:420) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.statistics.StatisticsCleaner.init(StatisticsCleaner.java:167) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.statistics.StatisticsCleaner.clear(StatisticsCleaner.java:82) ~[doris-fe.jar:1.2-SNAPSHOT]
